Nombre,Position,PAC,SHO,PAS,DRI,DEF,PHY
Melendo,RM,82,71,77,81,55,61
Kurt Zouma,CB,64,51,59,56,78,83
Pozuelo,CAM,66,73,78,83,50,60
Šime Vrsaljko,RB,77,55,74,75,79,77
Héctor Bellerín,RB,92,51,70,77,76,66
Deulofeu,RF,88,73,75,87,30,56
Salif Sané,CB,62,49,65,64,80,81
Aïssa Mandi,CB,66,46,74,71,81,72
Ismaily,LB,82,66,74,81,75,75
Cristian Tello,LM,89,75,76,81,48,61
Hans Vanaken,CAM,48,76,81,77,65,73
Campaña,CM,61,73,81,78,73,72
Ibai Gómez,RM,76,79,80,80,59,67
Domagoj Vida,CB,75,40,59,61,82,79
Luis Muriel,ST,88,76,68,83,27,68
Alex Oxlade-Chamberlain,CM,82,73,78,83,66,73
Josuha Guilavogui,CDM,59,59,67,66,83,79
Callum Wilson,ST,87,78,67,77,39,75
Simone Verdi,LM,86,73,80,83,48,53
Younès Belhanda,CAM,73,76,78,83,57,71
Ricardo Rodríguez,LB,70,67,79,76,78,74
Kevin Vogt,CB,73,57,71,67,80,79
Eduardo Salvio,RM,86,75,73,84,58,68
Hulk,RM,78,85,76,80,47,86
Benjamin Mendy,LB,81,51,77,77,77,77
Fedor Smolov,ST,86,81,70,76,32,73
Mateo Musacchio,CB,66,47,63,68,83,72
Kieran Trippier,RB,74,60,81,76,78,72
Sofiane Feghouli,RM,86,72,74,82,34,64
Lucas Pratto,ST,71,79,72,75,58,86
Sidnei,CB,70,55,61,65,78,82
Makoto Hasebe,CB,53,51,76,72,81,69
Antunes,LB,75,69,76,76,77,72
Lars Bender,RB,65,64,72,72,83,77
Marcelo Díaz,CDM,59,67,81,75,74,75
Ignacio Piatti,LW,73,81,74,84,55,75
Pedro León,RM,60,78,85,80,45,59
Daniel Wass,CM,73,77,81,77,76,75
Naldo,CB,53,65,62,61,81,71
Raúl García,CAM,47,82,80,77,72,81
Erik Lamela,RM,75,77,79,82,51,72
Danny Rose,LB,77,62,74,79,80,75
Ştefan Radu,CB,64,64,65,68,83,69
Jorge Molina,ST,39,83,67,70,41,70
André-Pierre Gignac,ST,69,82,71,72,43,83
Javier Mascherano,CDM,66,53,72,69,79,75
Nani,LW,72,75,79,86,37,62
Wayne Rooney,ST,64,81,80,76,56,76
Manuel Lanzini,CAM,77,72,78,85,32,50
Chris Smalling,CB,69,47,58,59,79,81
Reguilón,LB,86,50,71,77,76,70
Rony Lopes,LW,79,75,76,83,30,57
Jack Grealish,CAM,76,69,77,81,46,60
Reguilón,LB,86,50,71,77,76,70
Julian Weigl,CDM,61,47,75,76,78,66
Munas Dabbur,ST,75,78,65,77,32,72
Loren,ST,77,79,59,77,31,72
Maximiliano Gómez,ST,64,80,68,73,32,79
Manuel Lazzari,RM,88,62,76,80,54,62
Carlos Soler,RM,77,74,81,78,62,68
Miguel Almirón,LW,89,74,76,81,48,63
Yeray,CB,62,49,58,62,81,74
Maximilian Eggestein,CM,73,70,75,78,73,78
Marcos Llorente,CDM,58,50,73,72,77,73
Diogo Jota,LF,83,77,70,84,53,76
Nicolò Barella,CM,76,66,78,80,74,69
Valentin Rongier,CM,64,73,76,80,75,62
Mata,ST,72,79,61,75,31,77
Jony,LM,87,70,79,79,52,68
Julian Weigl,CDM,61,47,75,76,78,66
Matias Vecino,CDM,67,68,77,80,76,74
Andreas Christensen,CB,68,31,63,69,82,72
Joaquín,LM,66,78,83,82,44,56
André Gomes,CDM,65,71,78,80,73,80
Elseid Hysaj,RB,79,51,68,75,78,74
Samu Castillejo,RM,82,73,78,81,43,52
Munas Dabbur,ST,75,78,65,77,32,72
Michael Keane,CB,60,49,62,66,80,79
Manu Trigueros,CM,60,73,78,77,70,66
Taras Stepanenko,CDM,67,61,72,70,78,80
Matija Nastasić,CB,71,32,63,56,82,74
Portu,CF,81,78,76,81,58,75
Iñigo Martínez,CB,70,56,64,62,80,78
Christoph Kramer,CDM,52,49,71,73,77,77
Pavel Kadeřábek,RWB,77,43,74,75,75,81
Davy Klaassen,CM,65,78,74,76,70,75
Simone Zaza,ST,76,79,62,77,50,84
Sergi Darder,CM,45,69,79,80,66,67
Martin Hinteregger,CB,68,61,64,60,81,80
Faouzi Ghoulam,LB,75,64,77,77,78,73
Steven Berghuis,RW,78,77,81,81,36,62
Sergi Gómez,CB,64,41,65,64,81,75
Dejan Lovren,CB,54,40,59,63,80,78
Sergi Enrich,ST,60,78,70,75,43,78
Roberto Pereyra,LM,75,73,79,83,61,67
Kamil Glik,CB,45,32,44,54,79,82
Rony Lopes,LM,79,75,76,83,30,57
Santi Mina,CM,57,72,80,73,77,80
Francis Coquelin,CM,70,66,75,78,78,77
Lars Stindl,CF,66,80,78,79,59,72
Yann M'Vila,CDM,70,61,75,74,75,78
Diego Perotti,LW,75,70,77,86,42,57
Federico Fazio,CB,33,41,54,55,82,81
Etienne Capoue,CDM,52,71,74,73,78,77
Sven Bender,CB,65,51,62,61,82,77
Mathieu Valbuena,LM,77,75,80,82,34,48
Charles,ST,60,81,61,79,35,67
Loïc Perrin,CB,52,58,69,67,81,76
Victor Osimhen,ST,88,78,66,74,40,78
Christian Pulisic,LW,90,68,70,83,36,58
Munir,LW,84,77,75,81,35,66
Allan Saint-Maximin,RW,93,70,70,86,23,63
Samuel Di Carmine,ST,75,81,59,80,42,82
De la Bella,LB,75,60,75,76,78,78
Diego Rossi,LW,88,80,71,82,33,61
Lorenzo Faravelli,CM,84,77,77,80,77,80
Matías Pisano,RW,84,75,78,86,48,52
Leonardo Sigali,CB,68,41,44,59,80,74
Enzo Pérez,CDM,67,71,76,75,75,78
Erling Braut Håland,ST,82,78,63,74,36,80
Dyego Sousa,ST,55,81,53,71,30,86
Chris Smalling,CB,69,47,58,59,79,81
Lukas Klostermann,RB,85,50,63,70,79,75
Junior Firpo,LB,85,64,72,74,75,76
Vitolo,LM,76,76,76,79,41,75
Achraf Hakimi,LB,92,62,72,80,74,74
Ibrahima Konaté,CB,78,27,54,68,80,78
Eric Dier,CDM,54,63,71,65,80,84
Kwadwo Asamoah,LB,74,68,78,82,79,74
Tomáš Souček,CDM,70,68,72,73,79,82
Mário Rui,LB,83,49,73,79,73,67
Michy Batshuayi,ST,76,79,58,78,33,72
Abdou Diallo,CB,77,37,70,76,78,76
Vinícius Jr.,LW,93,70,71,84,29,63
Angeliño,LB,85,64,79,80,72,78
Sander Berge,CDM,74,49,74,74,76,85
Borja Valero,CAM,48,69,84,82,66,60
Haris Seferović,ST,71,77,67,72,47,86
Mariano,ST,82,80,61,73,45,80
Antonio Candreva,RM,74,78,76,79,61,67
Jason Denayer,CB,75,42,63,69,79,78
Christian Pulisic,LW,90,68,70,83,36,58
Mbwana Ally Samatta,ST,85,78,66,73,32,74
Thilo Kehrer,CB,74,44,65,68,78,76
Ruslan Malinovskyi,CM,71,77,81,77,64,80
Angeliño,LB,85,64,79,80,72,78
Dani Olmo,CAM,80,76,76,82,48,61
Mason Mount,CAM,73,74,77,79,48,58
Karl Toko-Ekambi,ST,79,78,67,78,27,68
Stanislav Lobotka,CM,64,63,76,78,70,66
Joël Veltman,CB,66,49,66,69,79,78
Rodrigo Bentancur,CM,70,58,78,81,70,74
Ben Davies,LB,73,58,75,75,78,74
Léo Dubois,RB,74,61,75,75,77,73
Adam Lallana,CM,67,71,79,82,62,65
Ruben Loftus-Cheek,CM,70,67,76,80,62,79
Benjamin Pavard,CB,69,47,72,70,81,74
Danilo,RB,71,70,74,74,78,76
Lucas Alario,ST,71,77,59,75,29,75
Dani Olmo,CAM,80,76,76,82,48,61
Serge Aurier,RB,77,59,73,76,77,76
De Tomás,ST,72,81,60,74,35,71
Ross Barkley,CAM,70,73,77,80,56,73
Santiago Arias,RB,83,53,69,75,76,77
Ruud Vormer,CM,60,74,79,70,75,79
Mariano,RB,82,64,75,76,71,76
Edmond Tapsoba,CB,64,39,54,56,80,83
Daichi Kamada,RW,81,78,77,83,42,66
Christopher Jullien,CB,70,51,54,63,79,86
Andreas Samaris,CDM,57,66,70,70,79,84
Giorgios Masouras,RW,83,80,77,81,44,73
Mady Camara,CM,73,70,73,75,78,89
Christian Gytkjær,ST,78,82,64,79,40,80
Lee Chung Yong,RM,77,72,79,82,58,68
Aleš Čermák,CM,73,75,79,78,49,70
Víctor Rodríguez,LM,80,77,77,80,48,66
Kenta Nishizawa,LM,88,73,80,80,45,74
Simy,ST,70,82,51,67,36,85
Kasper Junker,ST,94,84,64,83,40,80
Amahl Pellegrino,LW,87,83,75,83,49,75
Gaël Kakuta,CAM,84,77,78,85,46,68
Kaveh Rezaei,ST,76,80,72,74,35,75
João Teixeira,CM,79,74,77,83,45,65
Alexandru Maxim,CM,77,77,78,85,38,59
Serdar Gürler,LM,86,73,75,80,50,57
Sean Klaiber,RB,87,66,73,72,76,87
Ante Budimir,ST,70,80,55,72,41,79
Alexander Sørloth,ST,80,80,72,73,41,86
Uroš Račić,CM,65,73,74,74,78,77
Teddy Chevalier,ST,85,80,76,80,42,79
Ronny Rodelin,RM,64,80,79,79,49,75
Omar Govea,CAM,74,65,79,80,74,70
Vinícius,ST,78,79,57,73,31,77
Chancel Mbemba,CB,77,64,60,70,80,77
Famara Diedhiou,ST,68,79,53,72,37,79
Christopher Trimmel,RWB,80,65,76,73,75,86
Kodjo Fo-Doh Laba,ST,84,76,67,72,31,80
Daniel Candeias,ST,90,73,78,81,57,74
Mislav Oršić,LM,93,84,74,81,56,66
Libor Kozák,ST,59,78,60,72,39,82
Adis Jahović,ST,68,80,53,72,39,81
Georg Margreitter,CB,53,31,55,50,81,79
Ismael Sosa,ST,85,77,75,79,51,77
Casimir Ninga,LW,95,80,72,76,33,84
Burak Yılmaz,ST,80,81,65,69,34,77
Maicon,CB,53,55,66,55,79,83
Daniel Caligiuri,RWB,74,74,77,78,72,76
Nacho Monreal,LB,63,61,71,74,80,68
Dyego Sousa,ST,55,81,53,71,30,86
Tomáš Souček,CDM,70,68,72,73,79,82
Iago Falqué,CF,75,74,79,84,41,54
Angeliño,LB,85,64,79,80,72,78
Sander Berge,CDM,74,49,74,74,76,85
Amine Harit,CAM,81,67,72,84,45,48
Çağlar Söyüncü,CB,70,46,59,66,79,77
Erling Braut Håland,ST,82,78,63,74,36,80
Jeison Murillo,CB,75,40,59,64,79,80
Djalma,LM,87,77,75,79,50,80
Vinícius Jr.,LW,93,70,71,84,29,63
Dan-Axel Zagadou,CB,62,34,61,51,80,80
Ibrahima Konaté,CB,78,27,54,68,80,78
Tomáš Souček,CDM,70,68,72,73,79,82
Federico Chiesa,RW,85,74,71,82,44,64
Achraf Hakimi,LB,92,62,72,80,74,74
Raphinha,RW,89,74,74,82,49,70
Shoya Nakajima,LM,90,73,72,83,37,50
Wesley,ST,77,76,68,73,38,88
Ruslan Malinovskyi,CM,71,77,81,77,64,80
Richarlison,RM,84,77,72,81,45,79
Franck Yannick Kessié,CM,72,72,72,77,78,88
Aaron Wan-Bissaka,RB,87,50,63,78,80,72
Rubén Alcaraz,CM,64,73,79,72,80,82
Milot Rashica,LW,90,78,71,82,44,63
Sander Berge,CDM,74,49,74,74,76,85
Christian Pulisic,LW,90,68,70,83,36,58
Soares,ST,82,75,60,75,48,80
Thilo Kehrer,CB,74,44,65,68,78,76
Abdou Diallo,CB,77,37,70,76,78,76
Alexandr Golovin,CAM,81,71,75,82,65,67
Cristian Pavón,RW,91,76,75,78,49,74
Dyego Sousa,ST,55,81,53,71,30,86
Mbwana Ally Samatta,ST,85,78,66,73,32,74
Junior Firpo,RB,85,50,63,70,79,75
Mariano,ST,82,80,61,73,45,80
Raúl,CB,51,54,59,58,79,83
Wu Lei,ST,87,74,72,79,36,66
James Maddison,CAM,75,72,82,79,39,57
Angeliño,LB,85,64,79,80,72,78
Munir,ST,84,77,75,81,35,66
Jason Denayer,CB,75,42,63,69,79,78
Diego Carlos,CB,77,44,58,68,78,80
Mbwana Ally Samatta,ST,85,78,66,73,32,74
Allan Saint-Maximin,RW,93,70,70,86,23,63
Darío Benedetto,ST,80,80,66,75,38,73
Jean-Philippe Gbamin,CDM,80,57,73,74,78,83
Niklas Stark,CB,78,53,66,67,80,75
Rubén Peña,RB,83,71,72,81,75,69
Andreas Samaris,CDM,57,66,70,70,79,84
Sead Kolašinac,LB,75,62,72,72,75,87
Leandro Trossard,LW,83,80,76,82,30,62
Maximilian Arnold,CM,65,80,76,77,70,69
Denis Cheryshev,LM,77,79,78,77,55,67
Téji Savanier,CM,71,69,81,79,66,68
James Ward-Prowse,CM,60,71,85,77,62,64
Mário Rui,LB,83,49,73,79,73,67
Michy Batshuayi,ST,76,79,58,78,33,72
Ruben Aguilar,RB,84,53,69,76,75,73
Lukas Klostermann,LM,81,64,74,79,76,73
Willy Boly,CB,64,35,62,62,78,82
Danny da Costa,RWB,81,50,70,72,76,81
Eric Dier,CDM,54,63,71,65,80,84
Jeison Murillo,CB,75,40,59,64,79,80
Vitolo,LM,76,76,76,79,41,75
Nicolas Pallois,CB,49,53,60,57,79,84
Daniel Caligiuri,RWB,74,74,77,78,72,76
Wahbi Khazri,ST,76,80,77,79,43,68
Andriy Yarmolenko,RM,68,80,78,81,42,70
Haris Seferović,ST,71,77,67,72,47,86
Maicon,CB,53,55,66,55,79,83
Javier Pastore,CM,62,73,81,81,56,58
Iago Falqué,CF,75,74,79,84,41,54
Senad Lulić,LM,78,72,77,78,75,76
Alex Teixeira,ST,92,76,73,82,42,72
Kwadwo Asamoah,LB,74,68,78,82,79,74
Joshua King,CF,88,79,69,79,38,75
Yuri Berchiche,LB,80,64,71,74,78,81
Mamadou Sakho,CB,53,33,65,57,78,83
Anthony Modeste,ST,74,78,63,72,35,80
Éder,ST,86,78,73,82,29,65
Granero,CM,47,74,81,75,67,67
Nacho Monreal,LB,63,61,71,74,80,68
Zé Luís,ST,82,73,60,77,33,78
Diego Valeri,CAM,58,79,78,80,41,66
Borja Valero,CAM,48,69,84,82,66,60
Ezequiel Lavezzi,ST,84,79,78,83,40,71
Salomon Kalou,LM,65,78,74,85,43,59
Burak Yılmaz,ST,80,81,65,69,34,77
David Villa,ST,65,81,74,80,34,67
Joël Veltman,CB,66,49,66,69,79,78
Fabián Orellana,RM,72,75,78,80,40,45
Max-Alain Gradel,LW,84,78,73,81,42,62
Roque Mesa,CM,71,61,74,78,71,77
Augusto Fernández,CM,68,70,76,78,71,74
Nikola Kalinić,ST,67,76,64,74,42,72
Dani Olmo,CAM,80,76,76,82,48,61
Kevin-Prince Boateng,CF,65,79,78,80,67,77
Mason Mount,CAM,73,74,77,79,48,58
Leandro Cabrera,CB,58,31,58,58,79,80
Karl Toko-Ekambi,ST,79,78,67,78,27,68
De Tomás,ST,72,81,60,74,35,71
Stanislav Lobotka,CM,64,63,76,78,70,66
Viktor Tsygankov,RM,83,73,77,80,47,56
Dani Olmo,CAM,80,76,76,82,48,61
Marc Roca,CDM,61,62,77,74,73,68
Diadie Samassékou,CDM,73,49,69,73,77,77
Ben Chilwell,LB,78,49,71,77,76,75
André Silva,ST,77,75,63,78,43,75
Florian Grillitsch,CM,64,59,77,78,68,66
Lorenzo Pellegrini,CM,74,68,79,77,72,69
Fabián Balbuena,CB,56,40,52,52,80,79
Rodrigo Bentancur,CM,70,58,78,81,70,74
Benjamin Pavard,CB,69,47,72,70,81,74
Merino,CM,69,73,77,79,71,74
Karl Toko-Ekambi,ST,79,78,67,78,27,68
Petros,CDM,70,67,73,76,74,77
Léo Dubois,RB,74,61,75,75,77,73
Stanislav Lobotka,CM,64,63,76,78,70,66
Davide Zappacosta,RB,78,66,72,74,76,74
Lucas Alario,ST,71,77,59,75,29,75
Leonardo Sigali,CB,68,41,44,59,80,74
Jefferson Lerma,CDM,73,64,72,73,78,80
Abderrazak Hamdallah,ST,76,79,68,74,30,75
Ruben Loftus-Cheek,CM,70,67,76,80,62,79
Alex Iwobi,LM,80,64,74,82,28,68
Ricardo Horta,LW,76,76,76,81,42,55
Roman Zobnin,CDM,76,64,75,80,78,73
Morgan Sanson,CM,75,73,78,77,70,75
Jonny,LWB,77,52,70,75,78,70
Otávio,RM,75,69,77,84,45,62
Lucas Paquetá,CAM,76,75,75,81,60,77
Fred,CM,76,73,75,80,74,69
Jonas Hector,LB,75,60,75,75,78,75
Adnan Januzaj,RW,76,76,74,82,29,56
Joël Veltman,CB,66,49,66,69,79,78
Carlos Bacca,ST,70,76,64,76,33,66
Leo Baptistao,ST,77,75,72,78,33,67
Ben Davies,LB,73,58,75,75,78,74
Daniele Baselli,CM,71,73,79,81,66,68
Takashi Inui,LM,81,72,75,84,46,54
Roque Mesa,CDM,71,61,74,78,71,77
Santiago Arias,RB,83,53,69,75,76,77
Kenny Lala,RWB,79,54,76,77,74,76
John Brooks,CB,71,39,58,65,80,75
Damián Suárez,RB,76,67,74,73,78,76
James Tarkowski,CB,58,45,66,64,79,78
Milan Badelj,CDM,54,63,76,73,76,71
Danilo,RB,71,70,74,74,78,76
Ross Barkley,CAM,70,73,77,80,56,73
Serge Aurier,RB,77,59,73,76,77,76
Enzo Pérez,CDM,67,71,76,75,75,78
Phil Jones,CB,55,51,61,58,78,76
Ishak Belfodil,ST,71,77,69,78,36,81
Laguardia,CB,53,45,55,49,80,79
De Tomás,ST,72,81,60,74,35,71
Fabian Schär,CB,52,42,63,60,80,76
Leandro Cabrera,CB,58,31,58,58,79,80
Mario Gaspar,RB,74,70,71,72,79,76
Escudero,LB,72,63,74,71,79,72
Kike García,ST,61,79,63,75,38,73
Elkeson,ST,81,77,73,77,49,76
Fabián Orellana,RM,72,75,78,80,40,45
Shkodran Mustafi,CB,60,57,63,62,77,77
Cote,LB,69,54,75,74,79,69
Jack Wilshere,CM,64,68,80,81,63,66
Shinji Kagawa,CAM,62,67,75,84,54,45
Salomón Rondón,ST,69,77,62,71,37,82
Cristhian Stuani,ST,69,78,69,75,48,82
Nikola Kalinić,ST,67,76,64,74,42,72
Ömer Toprak,CB,71,37,62,67,80,74
Mariano,RB,82,64,75,76,71,76
Max-Alain Gradel,LW,84,78,73,81,42,62
Adam Lallana,CM,67,71,79,82,62,65
Séamus Coleman,RB,74,65,73,77,79,71
Ruud Vormer,CM,60,74,79,70,75,79
Ángel,ST,74,79,61,79,34,64
Augusto Fernández,CM,68,70,76,78,71,74
Kevin-Prince Boateng,CF,65,79,78,80,67,77
Marcano,CB,65,46,59,60,79,75
Germán Pezzella,CB,56,49,47,57,80,76
Jonny Evans,CB,56,32,59,55,80,75
Mathieu Debuchy,RB,69,67,73,75,78,73
Dante,CB,36,52,67,64,80,76
Jimmy Cabot,RM,98,75,69,85,32,61
Andreas Weimann,ST,90,78,71,79,49,77
Gary Kagelmacher,CB,74,52,76,71,81,80
Junior Sornoza,CAM,88,76,77,80,47,51
Gabriel Torres,ST,87,78,70,79,40,77
Matías Zaracho,CAM,87,66,74,83,63,62
Nery Domínguez,CDM,57,64,72,69,76,77
Ignacio Fernández,CM,74,72,78,79,65,71
Carlos Izquierdoz,CB,50,51,54,54,78,81
Frank Fabra,LB,89,60,70,79,72,79
Mauro Zárate,ST,77,80,70,84,42,68
Javier Pinola,CB,68,53,68,68,77,77
Carlos Tévez,CAM,68,77,74,78,45,71
Henry Onyekuru,LM,90,74,67,81,34,56
Victor Moses,RM,77,69,74,80,73,70
Ryan Babel,LW,83,79,71,80,36,73
Hans Hateboer,RM,83,62,70,77,75,75
Ljubomir Fejsa,CDM,54,57,65,66,81,80
Marcelo,CB,51,49,58,56,77,87
Ryan Babel,LM,83,79,71,80,36,73
Jonathan Bamba,LM,89,75,69,82,36,62
Domenico Criscito,LB,74,61,76,72,79,75
Daniel Podence,LM,93,63,70,84,33,51
Simon Deli,CB,76,46,52,70,78,79
Adama Soumaoro,CB,60,37,56,55,76,83
Kévin Malcuit,RB,85,63,73,78,74,75
Marten de Roon,CM,65,68,72,73,79,79
Divock Origi,ST,82,76,67,75,27,74
Jonathan Ikoné,CAM,89,70,72,81,33,60
Oleksandr Zinchenko,LB,71,66,80,79,77,66
Victor Wanyama,CDM,51,65,67,70,79,82
Diego Demme,CDM,60,39,74,75,74,78
Yusuf Yazıcı,CAM,75,74,78,81,47,74
Júnior Moraes,ST,79,77,55,74,27,66
Joachim Andersen,CB,60,40,54,56,78,79
Andrea Masiello,CB,54,37,57,59,80,70
Diego Demme,CDM,60,39,74,75,74,78
Lucas Tousart,CDM,62,53,66,65,79,83
Nikola Maksimović,CB,62,28,47,55,80,78
Remo Freuler,CM,66,69,75,75,70,69
Nathaniel Clyne,RB,71,61,70,77,77,69
Jean Michaël Seri,CM,68,68,79,79,68,63
Grzegorz Krychowiak,CDM,65,57,71,69,75,80
Ferro,CB,54,43,56,64,80,76
Roberto Gagliardini,CDM,61,63,71,74,77,73
Bertrand Traoré,RW,87,73,71,83,43,66
Mahmoud Dahoud,CM,73,66,75,82,64,68
Julian Baumgartlinger,CDM,68,49,69,69,78,81
Nadiem Amiri,CAM,73,67,76,82,54,64
Alexey Miranchuk,CAM,74,66,78,79,31,62
Rafael,RB,79,60,74,79,75,78
Rafael Tolói,CB,64,47,58,63,80,67
Mbaye Diagne,ST,65,78,58,62,32,74
Samuele Campo,CAM,83,70,81,80,50,68
Raoul Petretta,LM,85,45,75,77,74,77
Joelinton,ST,78,75,60,76,43,81
Patson Daka,ST,98,77,60,79,28,80
Osmar,CDM,63,65,72,60,78,94
Patrick Mainka,CB,65,45,56,54,82,82
Håvard Nielsen,ST,75,79,74,78,49,76
Bryan Angulo,ST,87,79,60,80,27,70
Harlee Dean,CB,61,40,52,60,81,82
Cristian Herrera,RM,77,81,70,77,51,82
Son Jun Ho,CM,63,69,75,71,70,75
Daniel Keita-Ruel,ST,85,82,60,73,43,92
Santiago Mosquera,LM,85,78,75,81,34,74
Georgios Giakoumakis,ST,81,79,55,74,36,86
Muamer Tanković,CAM,82,76,74,80,43,77
Bengali-Fodé Koita,ST,83,75,66,80,30,75
Konstantinos Fortounis,CAM,77,74,77,80,40,67
Kieran Dowell,CAM,73,79,78,81,52,63
Kim In Seong,LM,97,70,77,80,39,56
Manuel Schäffler,ST,78,80,60,70,38,88
Josh Risdon,RWB,82,55,71,75,78,87
Matías Rodríguez,RB,83,68,71,77,77,82
Danny Blum,LM,92,80,70,82,37,74
Sergio Peña,CAM,75,76,79,79,63,69
Miroslav Stevanović,RM,87,70,78,77,46,69
Paolo Bartolomei,CM,85,73,80,78,68,77
Alexandru Cicâldău,CM,79,70,80,77,70,89
Ernesto Torregrossa,ST,81,78,60,74,31,81
Esteban Burgos,CB,55,43,53,62,80,87
Nahki Wells,ST,86,76,71,79,54,71
Borna Barišić,LB,84,54,80,80,74,78
Ronnie Fernández,ST,75,80,71,76,33,77
Jordan Rhodes,ST,69,79,60,71,46,74
Adam Le Fondre,ST,75,81,70,76,37,72
Cristian Battocchio,CM,80,74,76,82,64,66
Zelimkhan Bakaev,CAM,89,75,73,79,38,64
Henok Goitom,ST,62,78,73,75,51,81
Jordan Morris,LM,89,79,66,73,41,82
Kim Shin Wook,ST,62,78,70,71,51,85
Eljif Elmas,CAM,73,77,76,79,64,74
Amir Rrahmani,CB,68,59,57,66,77,84
Rafa Mir,ST,80,80,70,75,51,74
Daniel Sturridge,ST,73,79,68,76,23,60
Ljubomir Fejsa,CDM,54,57,65,66,81,80
Davie Selke,ST,76,76,53,72,43,76
Daniel Podence,LM,93,63,70,84,33,51
Adama Soumaoro,CB,60,37,56,55,76,83
Unai López,CM,75,69,78,79,67,69
Pau Torres,CB,67,35,63,67,78,75
Victor Moses,RM,77,69,74,80,73,70
Ryan Babel,LW,83,79,71,80,36,73
Henry Onyekuru,LM,90,74,67,81,34,56
Alan Carvalho,ST,83,75,68,81,33,71
Iborra,CM,35,69,74,69,77,79
Souza,CDM,68,63,70,73,78,84
Victor Wanyama,CDM,51,65,67,70,79,82
Alan Carvalho,ST,83,75,68,81,33,71
Camacho,CDM,54,60,70,69,79,72
Mikel San José,CM,43,69,69,65,79,80
Sandro Wagner,ST,59,79,53,65,36,82
Ljubomir Fejsa,CDM,54,57,65,66,81,80
Troy Deeney,ST,57,79,67,71,37,85
Nordin Amrabat,RM,79,75,76,79,53,74
Martín Cáceres,CB,74,51,65,70,79,73
Marcelo,CB,51,49,58,56,77,87
Chey Dunkley,CB,67,42,51,58,78,83
Papakouli Diop,CDM,44,66,68,68,78,85
Felipe Caicedo,CF,74,76,71,75,44,81
Cristian Ansaldi,LM,75,62,77,79,76,70
Victor Moses,RM,77,69,74,80,73,70
Nuri Şahin,CDM,31,69,81,78,74,67
Gervinho,LW,90,70,71,79,35,59
David Abraham,CB,75,56,61,54,78,77
Ryan Babel,LM,83,79,71,80,36,73
Guillaume Hoarau,ST,47,79,69,71,44,79
Mauro Zárate,ST,77,80,70,84,42,68
Raffael,CF,62,76,80,83,44,62
Calero,CB,72,46,69,72,79,76
Enis Bardhi,CM,72,81,78,80,63,56
Michael Ngadeu,CB,68,53,59,67,78,83
Jean-Philippe Mateta,ST,82,75,53,73,34,77
Matías Zaracho,CAM,87,66,74,83,63,62
Ismaïla Sarr,RM,94,77,68,80,22,64
Jonathan Ikoné,CAM,89,70,72,81,33,60
Henry Onyekuru,LM,90,74,67,81,34,56
Denzel Dumfries,RB,80,50,66,71,76,87
Georgiy Dzhikiya,CB,82,53,61,64,78,81
Denis Zakaria,CM,82,63,75,75,79,82
Simon Deli,CB,76,46,52,70,78,79
Oleksandr Zinchenko,LB,71,66,80,79,77,66
Miralem Sulejmani,LM,83,75,75,80,31,54
Ellyes Skhiri,CDM,66,68,72,73,79,74
Jonathan Bamba,LM,89,75,69,82,36,62
Martin Ødegaard,RW,74,69,82,84,40,49
Hans Hateboer,RM,83,62,70,77,75,75
Rodrigo Battaglia,CM,66,68,68,73,80,80
Guillermo Maripán,CB,40,33,48,48,78,79
Bastos,CB,78,37,50,65,79,75
Capa,RB,82,63,69,76,73,83
Rúben Vezo,CB,75,54,63,63,79,75
Renzo Saravia,RB,90,41,68,76,73,79
Frank Fabra,LB,89,60,70,79,72,79
Divock Origi,ST,82,76,67,75,27,74
Davie Selke,ST,76,76,53,72,43,76
Leander Dendoncker,CM,67,72,77,71,78,83
Max Meyer,CM,67,62,79,83,65,65
Bruma,LW,90,72,71,83,32,63
Marten de Roon,CM,65,68,72,73,79,79
Bertrand Traoré,RW,87,73,71,83,43,66
Guido Pizarro,CDM,50,63,71,69,76,84
Djaniny,ST,83,74,68,77,35,76
Jean-Paul Boëtius,CAM,85,70,74,80,42,64
Soualiho Meïté,CM,66,61,74,77,75,83
Okay Yokuşlu,CDM,68,70,73,73,75,84
Daniel Podence,LM,93,63,70,84,33,51
Adama Soumaoro,CB,60,37,56,55,76,83
Kévin Malcuit,RB,85,63,73,78,74,75
Benjamin Stambouli,CB,63,55,67,71,79,76
Sérgio Oliveira,CM,58,76,79,76,67,66
Daniel Didavi,CAM,67,79,76,79,49,70
Gary Medel,CDM,68,47,65,70,77,84
Daniel Ginczek,ST,76,77,51,68,38,79
Pascal Groß,CM,58,72,82,74,60,72
Michail Antonio,RM,85,72,73,78,56,82
Benjamin André,CM,70,64,75,75,77,82
De Marcos,RB,82,62,72,75,71,78
José Sosa,CM,69,69,81,80,63,65
Emre Belözoğlu,CM,44,72,84,78,63,67
Jose Holebas,LB,69,65,75,74,76,76
Mario Lemina,CM,72,68,76,78,72,72
Zouhair Feddal,CB,54,50,62,59,78,75
Jean Michaël Seri,CM,68,68,79,79,68,63
Christophe Hérelle,CB,64,46,63,63,78,74
Adrien Silva,CM,58,74,79,76,70,65
Ibrahim Amadou,CDM,71,55,66,71,76,81
Jaume Costa,LB,76,61,71,73,78,71
Nolito,LM,68,77,76,78,45,64
Lucas Tousart,CDM,62,53,66,65,79,83
